year;pct_trade;pct_bilateral
01-01-1994;0.0032345882093986014;0.004378591546156146
01-01-1995;0.004526747711449576;0.0063500329631297515
01-01-1996;0.005434994081148491;0.007501083612853607
01-01-1997;0.005913627037759397;0.00825671439195526
01-01-1998;0.006664217085015488;0.00896692740932574
01-01-1999;0.007485037620687203;0.010328670877670802
01-01-2000;0.010150778082318939;0.013601253868483685
01-01-2001;0.010275001122921791;0.013326180456859448
01-01-2002;0.01083827282081695;0.013800916538059423
01-01-2003;0.013246895106061085;0.016908897610005216
01-01-2004;0.017489817066535376;0.021425022569481728
01-01-2005;0.0204054314054665;0.024194548254643237
01-01-2006;0.02473741453815471;0.028828769025101588
01-01-2007;0.030212811638679716;0.03409230314347225
01-01-2008;0.03602231228000181;0.0395782628321903
01-01-2009;0.030718736509514316;0.03317664494547304
01-01-2010;0.0381780323367538;0.04068697852036452
01-01-2011;0.04352341480336677;0.045506282570468445
01-01-2012;0.04441693490197096;0.045919547391649794
01-01-2013;0.046111903072171716;0.04613186352217065
01-01-2014;0.047178293529111556;0.047058634818638284
01-01-2015;0.04615018725026378;0.04522409929786686
01-01-2016;0.04635146921564417;0.04485902319796858
01-01-2017;0.05484279569788836;0.052503575201844045
01-01-2018;0.05907492993861371;0.05537331836202386
01-01-2019;0.06155737257470679;0.055188665780875966
01-01-2020;0.06032858195139312;0.05565325770335007
01-01-2021;0.07832638862765148;0.07012257767636079
01-01-2022;0.07054073480000929;0.06013330942895137
01-01-2023;0.0660622789845247;0.050924046482605616
